# CoordinateSystem: PROJCS["WGS 84 / Antarctic Polar Stereographic",GEOGCS["WGS 84",DATUM["World Geodetic System 1984 ensemble",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]],PROJECTION["PolarStereographicB",AUTHORITY["EPSG","9829"]],PARAMETER["latitude_of_origin",-71],PARAMETER["central_meridian",0],PARAMETER["false_easting",0],PARAMETER["false_northing",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","3031"]]
#Label;Enable;X/Easting;Y/Northing;Z/Altitude;Yaw;Pitch;Roll;Accuracy_X/Y_(m);Accuracy_Z_(m);Accuracy_Yaw_(deg);Accuracy_Pitch/Roll_(deg);Error_(m);X_error;Y_error;Z_error;Error_(deg);Yaw_error;Pitch_error;Roll_error;X_est;Y_est;Z_est;Yaw_est;Pitch_est;Roll_est;X_var;Y_var;Z_var;Yaw_var;Pitch_var;Roll_var
CA213732V0060.tif;1;-2427719.957253;1242579.177597;4572.000000;87.945285;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213732V0061.tif;1;-2425579.585037;1241578.764872;4572.000000;87.943505;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213732V0062.tif;1;-2423439.212821;1240578.352146;4572.000000;87.941722;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213732V0063.tif;1;-2421298.840605;1239577.939421;4572.000000;87.939936;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213732V0064.tif;1;-2419158.468389;1238577.526696;4572.000000;87.938147;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213732V0065.tif;1;-2417018.096173;1237577.113970;4572.000000;87.936354;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213732V0066.tif;1;-2414877.723956;1236576.701245;4572.000000;87.934559;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213732V0067.tif;1;-2412737.351740;1235576.288519;4572.000000;87.932760;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213732V0068.tif;1;-2410596.979524;1234575.875794;4572.000000;87.930959;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213732V0069.tif;1;-2408456.607308;1233575.463068;4572.000000;87.929154;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213732V0070.tif;1;-2406316.235092;1232575.050343;4572.000000;87.927346;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213732V0071.tif;1;-2404175.862876;1231574.637617;4572.000000;87.925535;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213732V0072.tif;1;-2402035.490660;1230574.224892;4572.000000;87.923720;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213732V0073.tif;1;-2399895.118444;1229573.812166;4572.000000;87.921903;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213732V0074.tif;1;-2397754.746228;1228573.399441;4572.000000;87.920082;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213732V0075.tif;1;-2395614.374012;1227572.986715;4572.000000;87.918258;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213732V0076.tif;1;-2393474.001796;1226572.573990;4572.000000;87.916431;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213732V0077.tif;1;-2391333.629580;1225572.161264;4572.000000;87.914601;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213732V0078.tif;1;-2389193.257364;1224571.748539;4572.000000;87.912767;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213732V0079.tif;1;-2387052.885148;1223571.335814;4572.000000;87.910931;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213733R0060.tif;1;-2427719.957253;1242579.177597;4572.000000;87.945285;-60.000000;-30.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
